"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"1",1,1,1,1,"F","WHITE","N","Y","Freshman",3.95,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Anaheim","CA","N","Orange","9"
"2",2,2,2,2,"F","WHITE","N","N","Freshman",3.95,"N","N","N","Pacific Coast High School","HS","CRWT","First Time Freshman","Other","Rancho Cucamonga","CA","Yes","San Bernardino","7"
"3",3,3,3,3,"M","WHITE","N","N","Freshman",3.85,"N","N","N",NA,NA,"CMDB","First Time Freshman","Second Year","Diamond Bar","CA","N","Los Angeles","8"
"4",4,4,4,4,"F","ASIAN","N","N","Freshman",3.7,"N","N","N","Irvington High School",NA,"NAUN","First Time Freshman","Third Year","Fremont","CA","N","Alameda","3"
"5",5,5,5,5,"M","MULTI-RACIAL","N","N","Freshman",4.05,"N","N","N",NA,"HS","LLGS","First Time Freshman","Second Year","Perris","CA","Yes","Riverside","7"
"6",6,6,6,6,"F","WHITE","Y","N","Freshman",4.11,"N","N","N",NA,NA,"BCH","First Time Freshman","First Year","Fontana","CA","N","San Bernardino","7"
"7",7,7,7,7,"M","HISPANIC OR LATINO","N","Y","Freshman",4.1,"N","Y","N","Patriot High School",NA,"NURO","First Time Freshman","Other","Riverside","CA","Yes","Riverside","7"
"8",8,8,8,8,"M","WHITE","N","N","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Yucaipa","CA","N","San Bernardino","7"
"9",9,9,9,9,"M","WHITE","Y","N","Freshman",3.8,"N","N","N","California Acad Math & Science","HS","PRBS","First Time Freshman","Second Year","Torrance","CA","N","Los Angeles","8"
"10",10,10,10,10,"M","WHITE","N","Y","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","GLENDALE","CA","Yes","Other","Other"
"11",11,11,11,11,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.33,"N","Y","N","Fallbrook Union High School","HS","SPN","First Time Freshman","Third Year","Fallbrook","CA","N","Other","Other"
"12",12,12,12,12,"F","HISPANIC OR LATINO","N","Y","Freshman",NA,"N","N","N",NA,"HS","PSYC","First Time Freshman","First Year","Menifee","CA","Yes","Riverside","7"
"13",13,13,13,13,"F","HISPANIC OR LATINO","N","Y","Freshman",3.65,"N","N","N","John W North High School","HS","SPN","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"14",14,14,14,14,"M","HISPANIC OR LATINO","Y","Y","Freshman",4.09,"N","N","N","Arlington High School","HS","POSC","First Time Freshman","Second Year","Riverside","CA","Yes","Riverside","7"
"15",15,15,15,15,"F","BLACK OR AFRICAN AMERICAN","Y","N","Freshman",3.82,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Anaheim","CA","Yes","Orange","9"
"16",16,16,16,16,"M","WHITE","N","Y","Transfer",NA,"N","N","N",NA,"HS","SOC","First Time Transfer","Incoming Transfer","Riverside","CA","Yes","Riverside","7"
"17",17,17,17,17,"M","ASIAN","N","N","Freshman",3.75,"Y","N","N","Villa Park High School","EN","BIEN","First Time Freshman","Other","Orange","CA","Yes","Orange","9"
"18",18,18,18,18,"M","WHITE","Y","N","Freshman",3,"N","N","N","Mark Keppel High School","HS","PSIA","First Time Freshman","Second Year","Montebello","CA","Yes","Los Angeles","8"
"19",19,19,19,19,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.82,"N","N","N","School History & Dramatic Arts",NA,"MATH","First Time Freshman","Second Year","Los Angeles","CA","N","Los Angeles","8"
"20",20,20,20,20,"M","MULTI-RACIAL","N","N","Freshman",3.56,"N","N","N",NA,NA,"CMDB","First Time Freshman","Third Year","Mission Viejo","CA","Yes","Orange","9"
"21",21,21,21,21,"M","ASIAN","N","Y","Freshman",4.1,"N","N","N",NA,"EN","ELEN","First Time Freshman","First Year","Yucaipa","CA","N","San Bernardino","7"
"22",22,22,22,22,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"HS","ANTH","First Time Transfer","Incoming Transfer","Whittier","CA","N","Los Angeles","8"
"23",23,23,23,23,"F","WHITE","N","Y","Freshman",4.22,"N","N","N",NA,"EN","BEBM","First Time Freshman","First Year","Riverside","CA","N","Riverside","7"
"24",24,24,24,24,"F","BLACK OR AFRICAN AMERICAN","N","Y","Freshman",4,"N","Y","N","Upland High School","BU","BSAD","First Time Freshman","Other","Upland","CA","N","San Bernardino","7"
"25",25,25,25,25,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"BU","BSAD","First Time Transfer","Incoming Transfer","Porterville","CA","N","Tulare","6"
"26",26,26,26,26,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.12,"N","N","N",NA,NA,"BIOL","First Time Freshman","Third Year","Pomona","CA","Yes","Los Angeles","8"
"27",27,27,27,27,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Moreno Valley","CA","N","Riverside","7"
"28",28,28,28,28,"M","HISPANIC OR LATINO","N","N","Freshman",4.14,"N","N","N","Notre Dame High School",NA,"NURO","First Time Freshman","Third Year","Riverside","CA","Yes","Riverside","7"
"29",29,29,29,29,"M","ASIAN","N","N","Freshman",4.04,"N","N","N","San Clemente High School",NA,"BIOL","First Time Freshman","Second Year","San Clemente","CA","Yes","Orange","9"
"30",30,30,30,30,"F","WHITE","N","Y","Freshman",4,"N","N","N",NA,"HS","PRBS","First Time Freshman","First Year","Riverside","CA","N","Riverside","7"
"31",31,31,31,31,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.23,"N","N","N",NA,"HS","POSC","First Time Freshman","Second Year","Fremont","CA","N","Alameda","3"
"32",32,32,32,32,"M","WHITE","Y","N","Transfer",NA,"N","N","N",NA,NA,"CMDB","First Time Transfer","Incoming Transfer","Whitewater","CA","N","Other","Other"
"33",33,33,33,33,"M","HISPANIC OR LATINO","Y","Y","Freshman",3.73,"N","N","N","Chino High School","HS","PBPL","First Time Freshman","Third Year","Ontario","CA","N","San Bernardino","7"
"34",34,34,34,34,"F","HISPANIC OR LATINO","Y","N","Freshman",3.96,"N","N","N",NA,NA,"ENSC","First Time Freshman","First Year","Los Angeles","CA","N","Los Angeles","8"
"35",35,35,35,35,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Riverside","CA","Yes","Riverside","7"
"36",36,36,36,36,"M","ASIAN","N","N","Freshman",3.54,"N","N","N",NA,"HS","PSYC","First Time Freshman","Second Year","La Mirada","CA","Yes","Los Angeles","8"
"37",37,37,37,37,"F","HISPANIC OR LATINO","N","N","Freshman",4.09,"N","N","N","University Preparatory",NA,"MCBL","First Time Freshman","Second Year","Hesperia","CA","N","San Bernardino","7"
"38",38,38,38,38,"F","HISPANIC OR LATINO","N","N","Freshman",3.96,"Y","N","N","Los Osos High School","HS","SOC","First Time Freshman","Other","Alta Loma","CA","Yes","Other","Other"
"39",39,39,39,39,"M","HISPANIC OR LATINO","Y","N","Freshman",3.95,"N","N","N",NA,"HS","GBST","First Time Freshman","First Year","Los Angeles","CA","Yes","Los Angeles","8"
"40",40,40,40,40,"F","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"HS","POSC","First Time Transfer","Incoming Transfer","Costa Mesa","CA","Yes","Orange","9"
"41",41,41,41,41,"M","ASIAN","Y","Y","Freshman",3.68,"N","N","N","San Marcos High School",NA,"NURO","First Time Freshman","Second Year","San Marcos","CA","N","San Diego","10"
"42",42,42,42,42,"M","NON-RESIDENT ALIEN","N","N","Freshman",3.87,"N","N","N",NA,NA,"BIOL","First Time Freshman","Second Year","Kodaikanal","Out-Of-State","Yes","Other","Other"
"43",43,43,43,43,"M","WHITE","N","Y","Freshman",3.9,"N","N","N",NA,"EN","MCEN","First Time Freshman","First Year","American Canyon","CA","N","Napa","2"
"44",44,44,44,44,"F","HISPANIC OR LATINO","N","N","Freshman",3.91,"N","N","N",NA,NA,"CHEM","First Time Freshman","First Year","Santa Monica","CA","N","Los Angeles","8"
"45",45,45,45,45,"F","BLACK OR AFRICAN AMERICAN","N","Y","Freshman",4,"N","N","N","Paraclete High School",NA,"NAUN","First Time Freshman","Second Year","Palmdale","CA","N","Los Angeles","8"
"46",46,46,46,46,"F","WHITE","N","N","Transfer",NA,"N","N","N",NA,"Other","ESHD","First Time Transfer","Incoming Transfer","Rancho Cucamonga","CA","Yes","San Bernardino","7"
"47",47,47,47,47,"M","ASIAN","N","N","Transfer",NA,"N","N","N","Santa Monica College","HS","ENGL","First Time Transfer","Other","Culver City","CA","Yes","Los Angeles","8"
"48",48,48,48,48,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.63,"N","N","N","Savanna High School","HS","ART","First Time Freshman","Other","Anaheim","CA","Yes","Orange","9"
"49",49,49,49,49,"M","ASIAN","N","Y","Freshman",3.87,"N","N","N",NA,NA,"NURO","First Time Freshman","First Year","Granada Hills","CA","Yes","Other","Other"
"50",50,50,50,50,"F","WHITE","N","N","Freshman",NA,"N","N","N",NA,"Other","ESHD","First Time Freshman","First Year","Simi Valley","CA","N","Ventura","5"
"51",51,51,51,51,"M","ASIAN","N","Y","Freshman",4.16,"Y","N","N",NA,NA,"BIOL","First Time Freshman","First Year","San Jose","CA","N","Santa Clara","3"
"52",52,52,52,52,"M","HISPANIC OR LATINO","N","Y","Freshman",3.97,"Y","N","N",NA,NA,"BCH","First Time Freshman","First Year","Fresno","CA","N","Fresno","6"
"53",53,53,53,53,"M","HISPANIC OR LATINO","Y","Y","Freshman",3.54,"N","N","N","Oxnard High School",NA,"NURO","First Time Freshman","Other","Port Hueneme","CA","Yes","Ventura","5"
"54",54,54,54,54,"F","WHITE","Y","Y","Freshman",NA,"N","N","N","Fountain Valley High School",NA,"BIOL","First Time Freshman","First Year","Huntington Beach","CA","Yes","Orange","9"
"55",55,55,55,55,"M","ASIAN","Y","Y","Freshman",3.55,"N","N","N","Walnut High School",NA,"BIOL","First Time Freshman","Third Year","West Covina","CA","N","Los Angeles","8"
"56",56,56,56,56,"F","WHITE","N","Y","Transfer",NA,"N","N","N","Riverside City College","HS","ENGL","First Time Transfer","Other","Crestline","CA","Yes","Other","Other"
